system,n,WER,CER,EM%,WER_lo,WER_hi
ar_beam,50,0.3333333333333333,0.13358778625954199,34.0,0.256,0.4122137404580153
ar_greedy,50,0.3560606060606061,0.1431297709923664,32.0,0.2773722627737226,0.43609022556390975
ctc_grammar,50,0.23484848484848486,0.08969465648854962,46.0,0.1678832116788321,0.3046875
ctc_grammar_ar,50,0.26515151515151514,0.1049618320610687,38.0,0.20155038759689922,0.3308270676691729
ctc_greedy,50,0.29545454545454547,0.10877862595419847,34.0,0.22556390977443608,0.36923076923076925
ctc_lexicon,50,0.23484848484848486,0.08969465648854962,46.0,0.1678832116788321,0.3046875
ns,50,0.3333333333333333,0.13358778625954199,34.0,0.256,0.4122137404580153
ns_ctc_select,50,0.3333333333333333,0.13358778625954199,34.0,0.256,0.4122137404580153
ns_joint_adaptive,50,0.2878787878787879,0.11450381679389313,38.0,0.2158273381294964,0.3643410852713178
ns_joint_rerank,50,0.2878787878787879,0.11450381679389313,38.0,0.2158273381294964,0.3643410852713178
